categoria,n,acima_do_limiar,ferramenta,nivel,acertos,base,nao_se_aplica,taxa,wilson_inf,wilson_sup
CWE-078,25,sim,codeql,4e,15,25,0,0.6000,0.4074,0.7660
CWE-078,25,sim,semgrep,0,22,25,0,0.8800,0.7004,0.9583
CWE-078,25,sim,semgrep,1,16,25,0,0.6400,0.4452,0.7975
CWE-078,25,sim,semgrep,2g,10,25,0,0.4000,0.2340,0.5926
CWE-078,25,sim,semgrep,2e,10,25,0,0.4000,0.2340,0.5926
CWE-078,25,sim,semgrep,3,8,25,0,0.3200,0.1720,0.5159
CWE-078,25,sim,semgrep,4g,8,25,0,0.3200,0.1720,0.5159
CWE-078,25,sim,semgrep,4e,8,25,0,0.3200,0.1720,0.5159
CWE-078,25,sim,snyk-code,0,7,25,0,0.2800,0.1428,0.4758
CWE-078,25,sim,snyk-code,1,2,25,0,0.0800,0.0222,0.2497
CWE-078,25,sim,snyk-code,2g,1,25,0,0.0400,0.0071,0.1954
CWE-078,25,sim,snyk-code,2e,1,25,0,0.0400,0.0071,0.1954
CWE-078,25,sim,snyk-code,3,1,25,0,0.0400,0.0071,0.1954
CWE-078,25,sim,snyk-code,4g,1,25,0,0.0400,0.0071,0.1954
CWE-078,25,sim,snyk-code,4e,1,25,0,0.0400,0.0071,0.1954
CWE-915,23,sim,codeql,0,20,23,0,0.8696,0.6787,0.9546
CWE-915,23,sim,codeql,1,18,23,0,0.7826,0.5810,0.9034
CWE-915,23,sim,codeql,2g,18,23,0,0.7826,0.5810,0.9034
CWE-915,23,sim,codeql,2e,17,23,0,0.7391,0.5353,0.8745
CWE-915,23,sim,codeql,3,15,23,0,0.6522,0.4489,0.8119
CWE-915,23,sim,codeql,4g,15,23,0,0.6522,0.4489,0.8119
CWE-915,23,sim,codeql,4e,14,23,0,0.6087,0.4079,0.7784
CWE-915,23,sim,semgrep,0,19,23,0,0.8261,0.6286,0.9302
CWE-915,23,sim,semgrep,1,12,23,0,0.5217,0.3296,0.7076
CWE-915,23,sim,semgrep,2g,11,23,0,0.4783,0.2924,0.6704
CWE-915,23,sim,semgrep,2e,11,23,0,0.4783,0.2924,0.6704
CWE-915,23,sim,semgrep,3,1,23,0,0.0435,0.0077,0.2099
CWE-915,23,sim,semgrep,4g,1,23,0,0.0435,0.0077,0.2099
CWE-915,23,sim,semgrep,4e,1,23,0,0.0435,0.0077,0.2099
CWE-915,23,sim,snyk-code,0,8,23,0,0.3478,0.1881,0.5511
CWE-915,23,sim,snyk-code,1,1,23,0,0.0435,0.0077,0.2099
CWE-915,23,sim,snyk-code,2g,0,23,0,0.0000,0.0000,0.1431
CWE-915,23,sim,snyk-code,2e,0,23,0,0.0000,0.0000,0.1431
CWE-915,23,sim,snyk-code,3,0,23,0,0.0000,0.0000,0.1431
CWE-915,23,sim,snyk-code,4g,0,23,0,0.0000,0.0000,0.1431
CWE-915,23,sim,snyk-code,4e,0,23,0,0.0000,0.0000,0.1431
CWE-094,14,sim,codeql,0,10,14,0,0.7143,0.4535,0.8828
CWE-094,14,sim,codeql,1,7,14,0,0.5000,0.2680,0.7320
CWE-094,14,sim,codeql,2g,7,14,0,0.5000,0.2680,0.7320
