cve,ferramenta,no_denominador,motivo_fora_denominador,status_campanha,tratado_presente,nivel_0,nivel_1,nivel_2_generosa,nivel_2_estrita,nivel_3,nivel_4_generosa,nivel_4_estrita,estrita_aplicavel,achados_no_arquivo_gt,distancia_min_linha,distancia_min_intervalo,gt_file_scanned,gt_cwe_primary,gt_cwes
CVE-2017-16018,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,1,82,82,true,CWE-079,CWE-079|CWE-116
CVE-2017-16018,snyk-code,true,,OK,true,true,true,false,false,true,false,false,true,3,0,0,null,CWE-079,CWE-079|CWE-116
CVE-2017-16023,codeql,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-400,CWE-730|CWE-400
CVE-2017-16023,semgrep,true,,OK,true,true,true,false,false,true,false,false,true,1,0,0,true,CWE-400,CWE-730|CWE-400
CVE-2017-16023,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-16026,codeql,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-770,CWE-770
CVE-2017-16026,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-770,CWE-770
CVE-2017-16026,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-770,CWE-770
CVE-2017-16028,codeql,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-338,CWE-338
CVE-2017-16028,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-338,CWE-338
CVE-2017-16028,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-338,CWE-338
CVE-2017-16029,codeql,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16029,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16029,snyk-code,true,,OK,true,true,true,true,false,true,true,false,true,4,0,0,null,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16030,codeql,true,,OK,true,true,true,true,true,false,false,false,true,1,4128,4128,true,CWE-400,CWE-730|CWE-400
CVE-2017-16030,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-400,CWE-730|CWE-400
CVE-2017-16030,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-400,CWE-730|CWE-400
CVE-2017-16031,codeql,true,,OK,true,true,true,false,false,false,false,false,true,18,8,8,true,CWE-338,CWE-338
CVE-2017-16031,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-338,CWE-338
CVE-2017-16031,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-338,CWE-338
