check_id,languages,js_ts
generic.secrets.security.detected-kolide-api-key.detected-kolide-api-key,regex,nao
generic.secrets.security.detected-mailchimp-api-key.detected-mailchimp-api-key,regex,nao
generic.secrets.security.detected-mailgun-api-key.detected-mailgun-api-key,regex,nao
generic.secrets.security.detected-npm-registry-auth-token.detected-npm-registry-auth-token,generic,nao
generic.secrets.security.detected-onfido-live-api-token.detected-onfido-live-api-token,regex,nao
generic.secrets.security.detected-outlook-team.detected-outlook-team,regex,nao
generic.secrets.security.detected-paypal-braintree-access-token.detected-paypal-braintree-access-token,regex,nao
generic.secrets.security.detected-pgp-private-key-block.detected-pgp-private-key-block,regex,nao
generic.secrets.security.detected-picatic-api-key.detected-picatic-api-key,regex,nao
generic.secrets.security.detected-private-key.detected-private-key,generic,nao
generic.secrets.security.detected-sauce-token.detected-sauce-token,regex,nao
generic.secrets.security.detected-sendgrid-api-key.detected-sendgrid-api-key,regex,nao
generic.secrets.security.detected-slack-token.detected-slack-token,regex,nao
generic.secrets.security.detected-slack-webhook.detected-slack-webhook,regex,nao
generic.secrets.security.detected-snyk-api-key.detected-snyk-api-key,regex,nao
generic.secrets.security.detected-softlayer-api-key.detected-softlayer-api-key,regex,nao
generic.secrets.security.detected-sonarqube-docs-api-key.detected-sonarqube-docs-api-key,regex,nao
generic.secrets.security.detected-square-access-token.detected-square-access-token,regex,nao
generic.secrets.security.detected-square-oauth-secret.detected-square-oauth-secret,regex,nao
generic.secrets.security.detected-ssh-password.detected-ssh-password,regex,nao
generic.secrets.security.detected-stripe-api-key.detected-stripe-api-key,regex,nao
generic.secrets.security.detected-stripe-restricted-api-key.detected-stripe-restricted-api-key,regex,nao
generic.secrets.security.detected-telegram-bot-api-key.detected-telegram-bot-api-key,regex,nao
generic.secrets.security.detected-twilio-api-key.detected-twilio-api-key,regex,nao
generic.secrets.security.google-maps-apikeyleak.google-maps-apikeyleak,generic,nao
generic.unicode.security.bidi.contains-bidirectional-characters,bash|c|csharp|go|java|javascript|json|kotlin|lua|ocaml|php|python|ruby|rust|scala|sh|typescript|yaml,sim
generic.visualforce.security.ncino.html.usesriforcdns.use-SRI-for-CDNs,generic,nao
